estado,nome,data,cidade,distancias,organizador,link_corrida,link_oficial
SP,RunforLife Marathon - Meia Maratona de Leme,25/01/2026,,21/10/5km,For Life!,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51913&RunforLife%20Marathon%20-%20Meia%20Maratona%20de%20Leme,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51913&RunforLife%20Marathon%20-%20Meia%20Maratona%20de%20Leme
SP,Maratona Oficial de Ribeirão Preto Piracanjuba ProForce,25/01/2026,,42/21/10/5km,Matheus Equilíbrio,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=44757&Maratona%20Oficial%20de%20Ribeir%E3o%20Preto%20Piracanjuba%20ProForce,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=44757&Maratona%20Oficial%20de%20Ribeir%E3o%20Preto%20Piracanjuba%20ProForce
SP,Corrida de Verão,25/01/2026,,6km,Mazza Eventos,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53088&Corrida%20de%20Ver%E3o,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53088&Corrida%20de%20Ver%E3o
SP,Corrida São Miguel,25/01/2026,,5km,AMA Esportes,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52995&Corrida%20S%E3o%20Miguel,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52995&Corrida%20S%E3o%20Miguel
SP,19ª Meia Maratona de São Paulo,25/01/2026,,21/10/5km,Yescom,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=45030&19%AA%20Meia%20Maratona%20de%20S%E3o%20Paulo,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=45030&19%AA%20Meia%20Maratona%20de%20S%E3o%20Paulo
SP,3ª Meia Maratona do Butantã,25/01/2026,,21/10/5km,Endorfina Esportes,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=45166&3%AA%20Meia%20Maratona%20do%20Butant%E3,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=45166&3%AA%20Meia%20Maratona%20do%20Butant%E3
SP,4ª Comemora São Paulo,25/01/2026,,5km,Sim Esporte & Lazer,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53040&4%AA%20Comemora%20S%E3o%20Paulo,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53040&4%AA%20Comemora%20S%E3o%20Paulo
SP,Agita Sampa Run,25/01/2026,,6km,Arte Final Brasil,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53000&Agita%20Sampa%20Run,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53000&Agita%20Sampa%20Run
SP,Corre Junto · Entre Vilas,25/01/2026,,10km,,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53001&Corre%20Junto%20%B7%20Entre%20Vilas,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53001&Corre%20Junto%20%B7%20Entre%20Vilas
SP,Santander Track&Fields Run Series - VillaLobos I,25/01/2026,,10/5km,TF Sports,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51952&Santander%20Track&Fields%20Run%20Series%20-%20VillaLobos%20I,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51952&Santander%20Track&Fields%20Run%20Series%20-%20VillaLobos%20I
SP,Summer Run 2026,25/01/2026,,8/4km,Everton Bonfim Dantas,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52379&Summer%20Run%202026,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52379&Summer%20Run%202026
SP,XXVIII Troféu Cidade de São Paulo,25/01/2026,,"15/10/6,1km",JJS Eventos,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=47421&XXVIII%20Trof%E9u%20Cidade%20de%20S%E3o%20Paulo,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=47421&XXVIII%20Trof%E9u%20Cidade%20de%20S%E3o%20Paulo
SP,Treinão E Bate Papo Com Altobelli,29/01/2026,,,TVCom Running,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53002&Trein%E3o%20E%20Bate%20Papo%20Com%20Altobelli,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53002&Trein%E3o%20E%20Bate%20Papo%20Com%20Altobelli
SP,Corrida dos Bares,31/01/2026,,6km,Palazzo Eventos,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53003&Corrida%20dos%20Bares,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=53003&Corrida%20dos%20Bares
SP,Corrida e Caminhada UPAR 2026,31/01/2026,,10/5km,Isa Costa,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=47026&Corrida%20e%20Caminhada%20UPAR%202026,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=47026&Corrida%20e%20Caminhada%20UPAR%202026
SP,Corrida do Samba RC,31/01/2026,,10/5km,G2P Eventos,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52348&Corrida%20do%20Samba%20RC,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=52348&Corrida%20do%20Samba%20RC
SP,Miraculous Run SP,31/01/2026,,4km,Yescom,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51756&Miraculous%20Run%20SP,https://www.corridasbr.com.br/sp/mostracorrida.asp?escolha=51756&Miraculous%20Run%20SP
TO,,08/03/2026,,7km,,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=51198&II%20Corrida%20e%20Caminhada%20da%20Mulher,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=51198&II%20Corrida%20e%20Caminhada%20da%20Mulher
TO,,26/04/2026,,6km,Instituto Eu Vivo Esporte,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=52837,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=52837
TO,,05/07/2026,,8/4km,TF Sports,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=52780&Santander%20Track&Fields%20Run%20Series%20-%20Motiva%20Aeroportos,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=52780&Santander%20Track&Fields%20Run%20Series%20-%20Motiva%20Aeroportos
TO,,22/08/2026,,10/5km,Norte Marketing Esportivo,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=53077&Night%20Run%202026,https://www.corridasbr.com.br/to/mostracorrida.asp?escolha=53077&Night%20Run%202026
